league,season,n_shots,n_matches,n_players,shots_per_match,has_xg,has_shot_minutes
ENG-Premier League,2014-2015,9914,380,436,26.1,True,True
ENG-Premier League,2015-2016,9819,380,454,25.8,True,True
ENG-Premier League,2016-2017,9760,380,446,25.7,True,True
ENG-Premier League,2017-2018,9287,380,433,24.4,True,True
ENG-Premier League,2018-2019,9661,380,427,25.4,True,True
ENG-Premier League,2019-2020,9427,380,441,24.8,True,True
ENG-Premier League,2020-2021,9235,380,437,24.3,True,True
ENG-Premier League,2021-2022,9775,380,450,25.7,True,True
ENG-Premier League,2022-2023,9644,380,460,25.4,True,True
ENG-Premier League,2023-2024,10524,380,466,27.7,True,True
ENG-Premier League,2024-2025,5211,196,398,26.6,True,True
ESP-La Liga,2014-2015,9046,380,439,23.8,True,True
ESP-La Liga,2015-2016,9082,380,443,23.9,True,True
ESP-La Liga,2016-2017,9162,380,450,24.1,True,True
ESP-La Liga,2017-2018,9174,380,460,24.1,True,True
ESP-La Liga,2018-2019,9273,380,450,24.4,True,True
ESP-La Liga,2019-2020,8604,380,456,22.6,True,True
ESP-La Liga,2020-2021,8132,380,469,21.4,True,True
ESP-La Liga,2021-2022,8977,380,499,23.6,True,True
ESP-La Liga,2022-2023,9374,380,479,24.7,True,True
ESP-La Liga,2023-2024,9311,380,489,24.5,True,True
ESP-La Liga,2024-2025,4241,182,421,23.3,True,True
FRA-Ligue 1,2014-2015,8696,380,451,22.9,True,True
FRA-Ligue 1,2015-2016,8808,380,472,23.2,True,True
FRA-Ligue 1,2016-2017,9164,379,473,24.2,True,True
FRA-Ligue 1,2017-2018,9467,380,445,24.9,True,True
FRA-Ligue 1,2018-2019,9416,380,438,24.8,True,True
FRA-Ligue 1,2019-2020,6812,279,429,24.4,True,True
FRA-Ligue 1,2020-2021,8921,380,471,23.5,True,True
FRA-Ligue 1,2021-2022,9132,380,476,24.0,True,True
FRA-Ligue 1,2022-2023,9345,380,480,24.6,True,True
FRA-Ligue 1,2023-2024,7827,306,442,25.6,True,True
FRA-Ligue 1,2024-2025,3432,140,356,24.5,True,True
GER-Bundesliga,2014-2015,7986,305,390,26.2,True,True
GER-Bundesliga,2015-2016,7915,306,406,25.9,True,True
GER-Bundesliga,2016-2017,7646,306,396,25.0,True,True
GER-Bundesliga,2017-2018,7737,306,395,25.3,True,True
GER-Bundesliga,2018-2019,8264,306,392,27.0,True,True
GER-Bundesliga,2019-2020,8148,306,409,26.6,True,True
GER-Bundesliga,2020-2021,7590,306,417,24.8,True,True
GER-Bundesliga,2021-2022,7949,306,414,26.0,True,True
GER-Bundesliga,2022-2023,7815,306,411,25.5,True,True
GER-Bundesliga,2023-2024,8506,306,412,27.8,True,True
GER-Bundesliga,2024-2025,3605,135,346,26.7,True,True
ITA-Serie A,2014-2015,10079,380,483,26.5,True,True
ITA-Serie A,2015-2016,9849,380,462,25.9,True,True
ITA-Serie A,2016-2017,10146,380,464,26.7,True,True
ITA-Serie A,2017-2018,9794,380,452,25.8,True,True
ITA-Serie A,2018-2019,10587,380,458,27.9,True,True
ITA-Serie A,2019-2020,10898,380,471,28.7,True,True
ITA-Serie A,2020-2021,9517,380,466,25.0,True,True
ITA-Serie A,2021-2022,9932,380,491,26.1,True,True
ITA-Serie A,2022-2023,9675,380,479,25.5,True,True
ITA-Serie A,2023-2024,9728,380,481,25.6,True,True
ITA-Serie A,2024-2025,4526,181,427,25.0,True,True
RUS-Premier League,2014-2015,5726,240,347,23.9,True,True
RUS-Premier League,2015-2016,5895,240,351,24.6,True,True
RUS-Premier League,2016-2017,5581,240,382,23.3,True,True
RUS-Premier League,2017-2018,5826,240,360,24.3,True,True
RUS-Premier League,2018-2019,6213,240,366,25.9,True,True
RUS-Premier League,2019-2020,6672,236,386,28.3,True,True
RUS-Premier League,2020-2021,6268,238,384,26.3,True,True
RUS-Premier League,2021-2022,6197,240,390,25.8,True,True
RUS-Premier League,2022-2023,6391,240,396,26.6,True,True
RUS-Premier League,2023-2024,5979,240,372,24.9,True,True
RUS-Premier League,2024-2025,3678,144,334,25.5,True,True
