model,rows,players,temporal_spearman,ndcg_top_decile,top_tier_precision,mae_minutes,rmse_minutes,subgroup_type,subgroup
S1_incremental_sporting_rate,607,336,0.09776857431071573,0.616376995116656,0.32786885245901637,778.4434108327317,915.4043938062033,role,DEF
S1_incremental_sporting_rate,638,326,0.14785183045226238,0.514767050820624,0.296875,696.8789491743457,819.9950496929752,role,FWD
S1_incremental_sporting_rate,561,313,0.13842431559326632,0.5455862987246801,0.3684210526315789,714.6397878582937,839.9800620956065,role,MID
S1_incremental_sporting_rate,296,211,0.14367994662150851,0.5689707696069471,0.3,699.5007225954726,821.4451685255818,league,Bundesliga
S1_incremental_sporting_rate,378,252,0.14636285524120005,0.6197442879193671,0.3684210526315789,715.1116042376158,840.639198628567,league,La Liga
S1_incremental_sporting_rate,275,205,0.23290928226972624,0.6949589988700909,0.42857142857142855,726.834493660108,860.8526976906286,league,Ligue 1
S1_incremental_sporting_rate,378,292,0.19783988642055744,0.4790564497681409,0.2894736842105263,740.421961776827,879.9667131079823,league,Premier League
S1_incremental_sporting_rate,479,269,0.1585090375526821,0.6102014434604526,0.3333333333333333,753.472762711805,879.0102795632699,league,Serie A
S1_incremental_sporting_rate,1154,641,0.12930421664800987,0.5993256902202537,0.3103448275862069,718.1932647703878,855.1706724234074,feature_tier,high
S1_incremental_sporting_rate,441,345,0.11911836845152708,0.5142510266899935,0.3111111111111111,765.4074331579476,875.7557009270133,feature_tier,low
S1_incremental_sporting_rate,211,188,0.17910071674800804,0.5329446398233468,0.2727272727272727,718.9437695237965,846.7667559720644,feature_tier,medium
